Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
FCFS,20.0000,146,6016,6,7.6277,7.7277,79.5700,71.8423,0.1000
FCFS,20.0000,779,2063,19,39.7402,39.8402,79.5700,39.7298,0.1000
FCFS,20.0000,427,3200,7,21.6135,21.7135,79.6800,57.9665,0.1000
FCFS,20.0000,663,2080,3,33.5912,33.6912,79.7900,46.0988,0.1000
FCFS,20.0000,887,1567,7,45.2978,45.3978,79.7900,34.3922,0.1000
FCFS,20.0000,584,2505,4,29.5139,29.6139,79.9000,50.2861,0.1000
FCFS,20.0000,574,2528,14,29.0996,29.1996,79.9000,50.7004,0.1000
FCFS,20.0000,586,2621,6,29.6976,29.7976,80.0100,50.2124,0.1000
FCFS,20.0000,384,3502,4,19.2324,19.3324,80.2300,60.8976,0.1000
FCFS,20.0000,862,1537,2,43.9625,44.0625,80.6430,36.5805,0.1000
FCFS,20.0000,60,6740,0,2.9672,3.0672,80.9730,77.9058,0.1000
FCFS,20.0000,336,3583,16,17.2625,17.3625,81.0830,63.7205,0.1000
FCFS,20.0000,216,4493,16,10.9941,11.0941,81.1930,70.0989,0.1000
FCFS,20.0000,373,3452,13,18.7960,18.8960,81.4130,62.5170,0.1000
FCFS,20.0000,263,4094,3,13.3744,13.4744,81.8365,68.3621,0.1000
FCFS,20.0000,393,3400,13,19.4727,19.5727,81.8365,62.2638,0.1000
FCFS,20.0000,228,4823,8,11.3674,11.4674,82.1720,70.7046,0.1000
FCFS,20.0000,430,3651,10,21.8227,21.9227,82.6460,60.7233,0.1000
FCFS,20.0000,923,1532,3,46.8280,46.9280,82.6460,35.7180,0.1000
FCFS,20.0000,43,8285,3,2.2275,2.3275,83.2570,80.9295,0.1000
FCFS,20.0000,476,3032,16,24.0387,24.1387,83.3670,59.2283,0.1000
FCFS,20.0000,645,2506,5,32.6974,32.7974,83.4770,50.6796,0.1000
FCFS,20.0000,169,5591,9,8.3976,8.4976,83.5870,75.0894,0.1000
FCFS,20.0000,503,2872,3,25.3376,25.4376,83.6970,58.2594,0.1000
FCFS,20.0000,164,5613,4,8.2145,8.3145,83.6970,75.3825,0.1000
FCFS,20.0000,1,9497,1,0.1225,0.2225,83.8070,83.5845,0.1000
FCFS,20.0000,986,1643,6,49.9941,50.0941,84.0270,33.9329,0.1000
FCFS,20.0000,870,2076,10,44.3961,44.4961,84.2470,39.7509,0.1000
FCFS,20.0000,313,3911,13,16.2364,16.3364,84.2470,67.9106,0.1000
